Institución, Indicador, Rango de Indicador, 2013, 2014, 2015,2016, 2017, 2018, 2019, 2020, 2021,2022, 2023
IPN, JSR,  5 <= JSR < 10 , 37, 28, 61, 52, 44, 54, 55, 54, 48, 59, 63
IPN, JSR,  10  <= JSR < 20 , 4, 2, 0, 2, 2, 10, 2, 2, 2, 2, 2
IPN, JSR,  JSR >= 20 , 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2
IPN, H,    0  <= H index < 20 , 216,  209,  244,  290,  226,  276,  194,  220,  236,  247,  173
IPN, H,    20  <= H index < 50 , 415,  437,  468,  506,  557,  648,  595,  585,  724,  679,  676
IPN, H,    50 <= H index < 100 , 854,  978,  1064,  1046,  1343,  1364,  1444,  1526,  1525,  1431,  1361
IPN, H,    100  <= H index < 200 , 1003,  1052,  1136,  1419,  1183,  1292,  1431,  1560,  1435,  1287,  1182
IPN, H,    H index >= 200 , 529, 490, 498, 646, 599, 689, 746, 878, 723, 744, 693
UBA, JSR,  0  <= JSR < 2 , 1882,  2111,  2074,  2073,  2185,  2368,  2365,  2628,  2584,  2320,  2097
UBA, JSR,  2  <= JSR < 5 , 1851,  1814,  1950,  2010,  2089,  2031,  2132,  2304,  2325,  2010,  1852
UBA, JSR,  5 <= JSR < 10 , 139, 132, 134, 125, 130, 129, 105, 182, 145, 148, 150
UBA, JSR,  10  <= JSR < 20 , 4, 2, 2, 4, 4, 8, 6, 4, 10, 6, 6
UBA, JSR,  JSR >= 20 , 2, 2, 10, 2, 2, 6, 2, 1, 2, 8, 0
UBA, H,    0  <= H index < 20 , 621,  730,  797,  831,  814,  977,  860,  978,  937,  849,  704
UBA, H,    20  <= H index < 50 , 439,  579,  449,  473,  613,  603,  620,  639,  627,  601,  571
UBA, H,    50 <= H index < 100 , 762,  835,  833,  798,  823,  841,  942,  1069,  1174,  1009,  942
UBA, H,    100  <= H index < 200 , 1225,  1182,  1283,  1277,  1347,  1316,  1394,  1494,  1504,  1247,  1150
UBA, H,    H index >= 200 , 831, 735, 808, 835, 813, 805, 794, 939, 824, 786, 738
UNESP, JSR,  0  <= JSR < 2 , 4749,  5157,  5082,  5384,  5598,  5598,  5327,  5850,  5988,  5257,  4942
UNESP, JSR,  2  <= JSR < 5 , 1910,  2121,  2190,  2584,  2712,  3065,  3030,  3337,  3283,  2693,  2318
UNESP, JSR,  5 <= JSR < 10 , 46, 66, 81, 64, 50, 70, 44, 56, 44, 71, 54
UNESP, JSR,  10  <= JSR < 20 , 0, 2, 0, 0, 4, 0, 1, 2, 2, 2, 6
UNESP, JSR,  JSR >= 20 , 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0
UNESP, H,    0  <= H index < 20 , 908,  956,  1003,  996,  1086,  1039,  873,  895,  885,  709,  721
UNESP, H,    20  <= H index < 50 , 1678,  1777,  1653,  1742,  1827,  1816,  1658,  1717,  1750,  1596,  1492
UNESP, H,    50 <= H index < 100 , 1842,  2036,  2088,  2178,  2244,  2300,  2328,  2676,  2725,  2459,  2269
UNESP, H,    100  <= H index < 200 , 1581,  1889,  1833,  2192,  2308,  2580,  2475,  2820,  2855,  2267,  1992
UNESP, H,    H index >= 200 , 696,  688,  776,  924,  899,  998,  1069,  1138,  1102,  993,  846
CES, JSR,  0  <= JSR < 2 , 17, 22, 22, 19, 45, 47, 83, 117, 89, 114, 222
CES, JSR,  2  <= JSR < 5 , 34, 9, 22, 15, 36, 41, 34, 34, 28, 23, 73
